travel_mode,travel_time_number,age,individual_travel_frequency,household_vehicles,household_size
1,770,45,20,2,4
0,687,24,16,0,1
1,240,45,36,2,4
1,600,34,28,1,4
1,483,40,34,2,5
1,1301,21,63,3,3
1,291,56,28,2,2
1,1380,17,84,3,6
1,850,67,30,2,2
1,1044,45,26,2,6
1,500,40,23,1,5
1,1580.541,63,9,1,2
1,500.1,38,34,2,4
0,360,32,38,2,5
1,519.805,39,36,2,5
1,120,29,25,5,7
1,1063,32,20,2,3
1,1999,73,22,1,2
1,1261,30,40,1,4
1,780,39,9,1,4
1,722,24,72,2,3
1,1750,39,16,2,1
0,402,37,20,2,4
1,360,43,24,2,5
1,182,32,13,1,1
0,660,67,18,1,2
1,600,18,64,4,5
0,141,68,21,1,2
1,700,44,50,2,7
0,854,18,14,2,4
1,2094,45,82,2,1
0,1200,36,3,1,3
1,222,32,24,2,3
1,186.941,41,42,2,4
1,732,59,16,1,2
1,575,64,32,2,2
1,83.178,39,32,2,5
1,242.66,18,66,3,4
0,11260,65,22,1,2
1,369,29,7,1,2
1,1357,20,30,2,4
1,103.508,32,48,1,5
1,350,60,14,2,2
1,275,46,14,2,4
1,1650,58,18,2,4
1,660,35,30,2,5
1,1920,36,16,1,2
1,1065.042,56,30,2,2
0,933,35,13,1,3
0,450,32,30,2,2
1,988.0049,60,38,2,2
1,1619,42,66,2,4
1,270.94,49,24,2,4
1,312,28,34,1,5
1,391.428,23,42,3,5
0,580,27,19,0,6
1,840,32,27,1,3
1,3401,48,20,2,4
1,407,36,22,2,6
1,300,33,40,2,6
1,129,39,12,2,4
1,2563,52,36,2,5
1,208,33,27,1,4
1,145.48,37,54,2,4
1,3000,53,28,2,3
1,19.99998,69,48,1,3
1,1100,29,16,2,2
1,601.2,22,39,1,1
1,353,42,14,2,5
1,1497.014,59,12,2,2
1,950,32,13,1,1
0,417.052,53,12,1,2
0,300,30,26,1,6
1,2533,59,48,2,3
1,1100,72,36,2,2
0,1080,76,4,0,4
1,1053.895,38,30,3,5
1,2700,22,60,3,3
1,617.589,33,32,2,5
1,365,52,42,2,5
1,1269.291,42,12,2,2
0,820,31,29,0,8
0,1920,17,12,2,3
1,3540,59,26,2,2
1,720,45,18,2,5
0,878,25,7,0,1
1,180,25,12,3,5
0,533,54,6,1,3
1,2012.98,58,50,2,2
1,1197,59,48,2,3
1,547.985,46,39,3,5
1,1050,39,44,2,4
